sampled_at_utc	tcfs_pids	s3_established_sockets	highwater	limit
2026-05-14T02:30:34Z	3317,93467	10	10	8
2026-05-14T02:30:39Z	3333,93467	10	10	8
2026-05-14T02:30:44Z	3346,93467	10	10	8
2026-05-14T02:30:49Z	3361,93467	8	10	8
2026-05-14T02:30:54Z	3379,93467	8	10	8
2026-05-14T02:30:59Z	3395,93467	8	10	8
2026-05-14T02:31:04Z	3416,93467	8	10	8
2026-05-14T02:31:09Z	3437,93467	8	10	8
2026-05-14T02:31:14Z	3453,93467	8	10	8
2026-05-14T02:31:19Z	3472,93467	8	10	8
2026-05-14T02:31:25Z	3492,93467	8	10	8
2026-05-14T02:31:30Z	3507,93467	8	10	8
2026-05-14T02:31:35Z	3526,93467	8	10	8
2026-05-14T02:31:40Z	3549,93467	8	10	8
2026-05-14T02:31:45Z	3580,93467	8	10	8
2026-05-14T02:31:50Z	3603,93467	8	10	8
2026-05-14T02:31:55Z	3631,93467	8	10	8
2026-05-14T02:32:00Z	3652,93467	8	10	8
2026-05-14T02:32:05Z	3682,93467	9	10	8
2026-05-14T02:32:10Z	3731,93467	9	10	8
2026-05-14T02:32:15Z	3967,93467	9	10	8
2026-05-14T02:32:20Z	4073,93467	9	10	8
2026-05-14T02:32:25Z	4248,93467	9	10	8
2026-05-14T02:32:30Z	4266,93467	9	10	8
2026-05-14T02:32:36Z	4286,93467	9	10	8
2026-05-14T02:32:41Z	4313,93467	9	10	8
2026-05-14T02:32:46Z	4346,93467	9	10	8
2026-05-14T02:32:51Z	4396,93467	9	10	8
2026-05-14T02:32:56Z	4435,93467	9	10	8
2026-05-14T02:33:01Z	4453,93467	9	10	8
2026-05-14T02:33:06Z	4466,93467	8	10	8
2026-05-14T02:33:11Z	4482,93467	8	10	8
2026-05-14T02:33:16Z	4496,93467	8	10	8
2026-05-14T02:33:21Z	4509,93467	8	10	8
2026-05-14T02:33:26Z	4531,93467	8	10	8
2026-05-14T02:33:31Z	4545,93467	8	10	8
2026-05-14T02:33:36Z	4577,93467	8	10	8
2026-05-14T02:33:41Z	4590,93467	8	10	8
2026-05-14T02:33:46Z	4612,93467	9	10	8
2026-05-14T02:33:52Z	4642,93467	9	10	8
2026-05-14T02:33:57Z	4656,93467	9	10	8
2026-05-14T02:34:02Z	4670,93467	9	10	8
2026-05-14T02:34:07Z	4694,93467	8	10	8
2026-05-14T02:34:12Z	4708,93467	8	10	8
2026-05-14T02:34:17Z	4759,93467	8	10	8
2026-05-14T02:34:22Z	4776,93467	8	10	8
2026-05-14T02:34:27Z	4789,93467	8	10	8
2026-05-14T02:34:32Z	4818,93467	8	10	8
2026-05-14T02:34:37Z	4836,93467	8	10	8
2026-05-14T02:34:42Z	4849,93467	8	10	8
2026-05-14T02:34:47Z	4862,93467	8	10	8
2026-05-14T02:34:52Z	4906,93467	8	10	8
2026-05-14T02:34:57Z	4919,93467	8	10	8
2026-05-14T02:35:02Z	4946,93467	8	10	8
2026-05-14T02:35:08Z	4959,93467	8	10	8
2026-05-14T02:35:13Z	5025,93467	8	10	8
2026-05-14T02:35:18Z	5042,93467	8	10	8
2026-05-14T02:35:23Z	5088,93467	8	10	8
2026-05-14T02:35:28Z	5108,93467	8	10	8
2026-05-14T02:35:33Z	5126,93467	9	10	8
2026-05-14T02:35:38Z	5179,93467	9	10	8
2026-05-14T02:35:43Z	5192,93467	9	10	8
2026-05-14T02:35:48Z	5265,93467	8	10	8
2026-05-14T02:35:53Z	5301,93467	8	10	8
2026-05-14T02:35:58Z	5315,93467	8	10	8
2026-05-14T02:36:03Z	5343,93467	8	10	8
2026-05-14T02:36:08Z	5369,93467	8	10	8
2026-05-14T02:36:14Z	5392,93467	8	10	8
